Date,Username,Comment
16:33:58,Jason Kidwell,there a. blue chat let's get em out
16:34:00,Jason Kidwell,all red in here
16:34:01,titi,yeah
16:34:03,titi,reddd
16:34:26,Jason Kidwell,we love trump
16:34:28,Mankind2024,We Want TrumpVance2024 :heart_suit:  :trophy: :trophy::trophy::trophy::heart_suit::heart_suit::heart_suit::heart_suit::folded_hands::folded_hands::folded_hands::folded_hands:
16:34:30,Jason Kidwell,we love trump
16:34:32,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:34:34,Mr.Muffin,Of course you love him :face_with_tears_of_joy:
16:34:36,Jason Kidwell,trump loves india
16:34:38,titi,make america great again
16:34:40,Jason Kidwell,oh I do
16:35:03,titi,YES WE DO
16:35:06,Abao Odx,donal trump
16:35:09,Ri.,Trump!
16:35:12,Jason Kidwell,get the blue out chat all red show em
16:35:15,Parthivi Rastogi,hahahha 'he is the best' no logic hahahha no policy just best. Sure 
16:35:18,titi,GOD BLESS AMERICA _ a wise man
16:35:21,Jason Kidwell,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart: teump
16:35:43,Yousuf Khan,make america great again
16:35:45,Jason Kidwell,trump
16:35:48,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points:
16:35:50,Jason Kidwell,let's go chat red
16:35:52,Jason Kidwell,hype it up
16:35:54,Jason Kidwell,trump :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:35:56,Unknown Dr,trump 
16:35:58,Mr.Muffin,"That’s a Big problem in US you guys vote based on sympathie, not on actual politics "
16:36:20,titi,GOD BLESS AMERICA :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::hundred_points:
16:36:21,Unknown Dr,Trump 
16:36:23,Jason Kidwell,get the blue out
16:36:24,PreppyBoy😍😍,:light_blue_heart:
16:36:26,Cookig by Sankevych,Harris Harris
16:36:27,Jason Kidwell,all red here india loves trump
16:36:29,Mr.Muffin,(Sorry for my Bad english :smiling_face_with_tear:)
16:36:30,PreppyBoy😍😍,Kamala will win
16:36:32,Jason Kidwell,trump loves india
16:36:33,Ali Khan,trump wins from Pakistan
16:36:54,Jason Kidwell,lol
16:36:56,Boeta van Jaarsveld,@PreppyBoy:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes: DEF BETA 
16:36:57,K U,:blue_heart::blue_heart::blue_heart::blue_heart:
16:36:58,Matthew Masters,Trump make America beter again
16:36:59,titi,nah we dont want to talk about the hole reason theres to much reasons to vote for trump for short cuz he is the best
16:37:00,Jason Kidwell,red hype it up chat
16:37:02,Ali Khan,trump is a good person
16:37:03,Jason Kidwell,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:37:04,tshibaka eva,Trump or nothing
16:37:05,Jason Kidwell,trump
16:37:27,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:37:29,K U,Moo deng
16:37:32,Boeta van Jaarsveld,SEEMS LIKE WEEBS LOVE HARRIS ASWEL ..... BETA VIBES RIGHT THERE
16:37:34,Natural Options,DREAM TEAM: TRUMP VANCE RFK TULSIE ELON ROGAN RAMASWAMY :red_square::red_square::red_square::red_square::red_square::red_square::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:37:36,Ali Khan,"trump MEANS business, kamla MEANS wars"
16:37:38,hikeya kent,VOTE FOR TRUMP :flexed_biceps:
16:37:40,Jason Kidwell,@titi we love red trump
16:37:42,Mr.Muffin,Give me just 2 or 3 good reasons
16:38:05,Jason Kidwell,tell em chat
16:38:07,Cephas Kimutai,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:
16:38:09,Md sharan Khan,trump
16:38:11,Jason Kidwell,the better question is tell me why Harris is better
16:38:14,Ali Khan,don't vote kamla she is PUPPET of ARMS INDUSTRY
16:38:16,Mr.Muffin,Im Open to discuss
16:38:18,Md sharan Khan,trump Bangladesh
16:38:20,현준김,who's win now ?
16:38:23,Boeta van Jaarsveld,WOMAN CANT EVEN DRIVE A CAR 
16:38:44,Jason Kidwell,trump
16:38:46,Mr,who knows
16:38:48,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::balloon::hot_pepper::collision::hundred_points::anger_symbol:
16:38:50,Danyl Henderson,TRUMP
16:38:51,Jason Kidwell,we love trump
16:38:53,Jason Kidwell,all red
16:38:55,titi,TRUMPPP
16:38:57,Boeta van Jaarsveld,TRUMP ALL DAY 
16:38:59,Mr.Muffin,Im Not into American politics that much i dont know if i would vote her but I know i Never would vote trump
16:39:00,George Auta Dan Auta,Trump
16:39:02,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:39:04,hikeya kent,TRUMP MEANS NO FIGJT NO WAR ONLY PEACE. LOVE FROM INDIA 
16:39:26,Jason Kidwell,proud American trump 2024
16:39:28,Alexandre Barreira,TRUMP
16:39:30,Caroline grace,Trump
16:39:33,dalaylama 69,haris cant win
16:39:35,Jason Kidwell,trump world peace
16:39:37,titi,THEN GET OUT I WILL BOTE FOR TRUMP
16:39:39,titi,vote*
16:39:41,hikeya kent,TRUMP :flexed_biceps:
16:40:04,Jason Kidwell,Harris is fake
16:40:06,Mr.Muffin,He has some good Ideas but Most stuff he says is just nonesense
16:40:09,Jason Kidwell,she left all of our troops to rot in Afghanistan and she lied about being to the border
16:40:12,AdrishyaMitra,joo bhi hoo apun dekh Riya hai
16:40:14,Ali Khan,"save your children from war , VOTE Trump. kamla MEANS wars all over the world :globe_showing_americas::globe_showing_americas:"
16:40:17,Navneet Guleria,Trump
16:40:19,Jason Kidwell,lol that's it argument lol
16:40:41,MP RAJAN,We need peace -so go with Trump 
16:40:43,mark lee the cutie,I SEE RED
16:40:45,Boeta van Jaarsveld,AND SHE LIED ABOUT WORKING AT MCDS
16:40:46,Jag_rex24,[Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff]:face-blue-smiling:... [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff]:face-blue-smiling:
16:40:48,Jason Kidwell,come on muffin let's here it
16:40:50,SEShu Tall,WOMEN WITH HARRIS :red_heart:
16:40:52,Davros,Trump
16:40:54,mark lee the cutie,IT IS RED
16:40:55,titi,joe biden pack your things get out kamila harris you arent welcome TRUMP WELCOME BACK :red_heart::red_heart::red_heart::red_heart::red_heart:
16:40:57,Jason Kidwell,chat show em red
16:40:59,Samu,TRUMPPPPPPPPPPPPPPPPP 
16:41:01,Jason Kidwell,we love trump
16:41:23,Goku,Trump 
16:41:26,SEShu Tall,youth new voters prefer:red_heart:harris :red_heart:
16:41:28,The choosen one,abki baar trump Sarkar
16:41:31,Boeta van Jaarsveld,TRUMP IS WINNING THIS ITS JUST A MATTER OF TIME LBH
16:41:33,Jason Kidwell,come on muffin I'm waiting
16:41:36,Lalalalisalove,Trump :red_heart::red_heart::red_heart::red_heart:
16:41:38,Darth Kanaka,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:41:41,Jason Kidwell,America loves trump
16:42:03,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::anger_symbol::collision::hundred_points::anger_symbol::collision::hundred_points::collision::anger_symbol::collision::heart_exclamation::heart_exclamation::heart_exclamation::heart_exclamation:
16:42:05,SEShu Tall,elen mask :hugging_face:lost his $
16:42:07,Aubree Testerman,Trimp
16:42:09,Jason Kidwell,show em chat all red
16:42:11,Adam Walker,Trump
16:42:13,Aubree Testerman,Trump
16:42:15,The choosen one,TRUPMP 2024
16:42:17,stingray,Trump win 1000%
16:42:19,Boeta van Jaarsveld,WHO IS ELEN MASK @SEShu Tall 
16:42:41,The choosen one,Trump 2024
16:42:42,SEShu Tall,women vt harris :red_heart:
16:42:44,Jason Kidwell,hr made tesla
16:42:46,Jag_rex24,[Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff]:face-blue-smiling:... [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff] [Trump wins No Diff]:face-blue-smiling:
16:42:48,Minh Long Đặng,kamala haris
16:42:49,Be happy_aga,Bang
16:42:51,Jason Kidwell,women vote trump
16:42:53,titi,TRUMPPPPPPPPPPPPP
16:42:55,Jason Kidwell,Harris is fake
16:42:57,Jason Kidwell,boom
16:42:58,DEVI DUTT SAHDEO,would be very surprising if Trump doesn't win.
16:43:20,Jason Kidwell,show em chat all red
16:43:21,mark lee the cutie,"If Kamala Wins, America is SOLD"
16:43:23,titi,KAMILA HARRIS BYEEEEEE
16:43:24,Jason Kidwell,that's red it up
16:43:26,SEShu Tall,women dumped trump:hugging_face:
16:43:27,The choosen one,wise person vote trump
16:43:28,Jason Kidwell,2024 trump :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:43:30,titi,woundnt be suprising if kamila losses
16:43:31,Minh Long Đặng,smart people vote kalama harris
16:43:33,mark lee the cutie,I’m a woman who supports Trump
16:43:34,Jason Kidwell,get emm out
16:43:36,titi,nah im a woman i didnt
16:43:37,The choosen one,trump again
16:43:59,titi,sameee
16:44:01,Jason Kidwell,America loves trump
16:44:03,DEVI DUTT SAHDEO,I am an Indian idgaf
16:44:05,Arko Toys,tramp
16:44:07,mark lee the cutie,Y’all supporting Kamala like damn do y’all know she’s close with Diddy
16:44:09,Parthivi Rastogi,vote like their lives depend on it cause if he looses he goes to jail like his budd epstien. 
16:44:11,DEVI DUTT SAHDEO,gay
16:44:33,The choosen one,fools are voting kamla
16:44:35,titi,im ethiopian LETS GO TRUMPPP
16:44:37,Jason Kidwell,I didn't wanna say it
16:44:39,titi,what no
16:44:40,mark lee the cutie,y’all want a Diddy kingdom?
16:44:42,SEShu Tall,67% women with Harris 34% with tump :rolling_on_the_floor_laughing:
16:44:44,titi,TRUMMPPPPPPP
16:44:46,bilal,yes daddy
16:44:47,Jason Kidwell,red in chat let's go show em chat
16:45:10,DEVI DUTT SAHDEO,I like trump but musk is a red flag
16:45:12,TRUONG Le,DONALD TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP Win
16:45:15,70K Trader,Americans won't accept a women for their president
16:45:17,Jason Kidwell,guess muffin gave up typical Harris supporter can't debate or show up on tv
16:45:20,Parthivi Rastogi,oh wait felon is about to speak
16:45:22,The choosen one,trump
16:45:25,titi,TRUMPPPPPPPPPL
16:45:27,mark lee the cutie,TRUMP!
16:45:49,Jason Kidwell,Florida loves trump
16:45:50,Parthivi Rastogi,"wait up guys, the rapist is about to yapp"
16:45:52,TRUONG Le,TRUMP TRUMP DONALD TRUMP DONALD TRUMP DONALD 2024 win
16:45:54,Matthew Masters,Harris Gibson we have a war
16:45:55,DEVI DUTT SAHDEO,shhhhhhh silence
16:45:57,Scripted Unscripted,harris
16:45:58,titi,im not voting for trash (kamila
16:46:00,The choosen one,future president
16:46:01,Jason Kidwell,we love trump
16:46:03,Jason Kidwell,:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
16:46:04,Jim Fodera,I do not want my child to grow up in this messed up “woke” world where men are in woman’s sports and no one can tell what a woman is anymore without being criticized
16:46:06,Jason Kidwell,trump
16:46:27,titi,im voting for trump the acctual human that understands
16:46:28,win aguilar,Scumbag on the Run!
16:46:29,DEVI DUTT SAHDEO,most probably the next president
16:46:31,Matthew Masters,screw Harris
16:46:32,mark lee the cutie,Kamala is fired Donald is hired
16:46:33,mark lee the cutie,Kamala is fired Donald is hired
16:46:34,Jason Kidwell,@titi we love you
16:46:35,Matthew Masters,vote for Trump no Harris
16:46:36,The choosen one,spam trump in chat
16:46:37,Jason Kidwell,Harris is fake
16:46:39,Jesus is Lord,Almighty God Holy Spirit Jesus Lord of hosts we votes heavenly divinely infinite Supernatural original for Trump Trump Trump in Jesus names I decree I declare and I command so in Jesus name amen :smiling_face_with_halo::hundred_points:
16:46:40,Asifali,Trump
16:46:41,Scripted Unscripted,no trump triumph this time
16:46:42,mark lee the cutie,Kamala is fired Donald is hired
16:46:43,Asifali,trump
16:46:44,Scripted Unscripted,kamala can
16:46:46,titi,YEAH KAMILA IS FIRED DONALD IS HIERD
16:47:07,Jason Kidwell,chat show em red
16:47:09,TRUONG Le,DONALD TRUMP WIN TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP 2024
16:47:10,mark lee the cutie,Kamala is fired Donald is hired
16:47:11,DEVI DUTT SAHDEO,Tulsi >>>>kamala
16:47:13,Shane Down Syndrome ShaneBaillargeon,It’s me Ada. I vote you. You’re the greatest Donald Trump. Awesome.
16:47:14,Jason Kidwell,red
16:47:16,mark lee the cutie,Kamala is fired Donald is hired
16:47:17,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::collision::anger_symbol::hundred_points::red_heart:
16:47:19,Jason Kidwell,America loves trump
16:47:20,dave shalom,did you guys wake up yet about the borders didn't you guys wake up even kamala vice president tim walz said it
16:47:21,TRUONG Le,TRUMP win
16:47:23,mark lee the cutie,Kamala is fired Donald is hired
16:47:24,Mandee Seeburn,trump
16:47:26,The choosen one,world loves trump
16:47:27,Jason Kidwell,red all the way
16:47:48,titi,TRUMP KAMILA IS FIRED DONALD IS HIERD
16:47:50,DEVI DUTT SAHDEO,I haven't been this sure of a democrat victory since 2016
16:47:51,Jason Kidwell,Republicans in chat
16:47:52,Jason Kidwell,rally up
16:47:54,Shane Down Syndrome ShaneBaillargeon,Donald Trump don’t say that perfect you are awesome. You really nice guy but you are I vote for you.
16:47:55,mark lee the cutie,Yasss
16:47:57,Слава,Trump 2024! Greetings from New York
16:47:58,Jim Fodera,We need strength in the White House Not some woman that gets rattled from a protestor yelling at her rally.
16:47:59,Jason Kidwell,we love trump
16:48:01,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:48:02,TRUONG Le,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:DONALD TRUMP
16:48:03,titi,TRUMP LETS GO
16:48:05,Jason Kidwell,we love trump
16:48:26,DEVI DUTT SAHDEO,democrats are gonna win. just like 2016
16:48:28,APC,trump
16:48:29,Jason Kidwell,red all the way
16:48:31,titi,TRUMP
16:48:32,Lim Chee Ming,"Trump all the way, from Singapore"
16:48:34,Shane Down Syndrome ShaneBaillargeon,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:48:35,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:48:37,Jason Kidwell,trump loves America
16:48:39,Anacleto De Souza,Trump Trump Trump nothing but Trump.
16:48:40,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::anger_symbol::collision::hundred_points::anger_symbol::collision::hundred_points::anger_symbol::collision:
16:48:42,JOHN KAIZER,the looser
16:48:43,Jason Kidwell,trump loves india
16:48:45,DEVI DUTT SAHDEO,gay
16:49:07,Jason Kidwell,show em chat
16:49:08,titi,TRUMP OR NOTHING
16:49:10,TRUONG Le,TRUMP 1 TRUMP 2 TRUMP 3TRUMP WIN WIN 2024
16:49:11,Jason Kidwell,all red
16:49:13,FuzzyHeadVR,Trip
16:49:15,Jason Kidwell,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:49:16,FuzzyHeadVR,Trump
16:49:18,Kiangwi Isaya,Kamala Harris is the next president
16:49:20,titi,2024 2025 ....... TRUMPPPP
16:49:21,The choosen one,future resident of white house= Trump
16:49:44,Jason Kidwell,we love trump
16:49:47,titi,trumpppp
16:49:50,FuzzyHeadVR,You’re fired Kamala Harris
16:49:52,FuzzyHeadVR,Trump
16:49:55,titi,king + love = trump :red_heart::red_heart::red_heart::red_heart:
16:49:58,AmperiStreaks,When will we get the results?
16:50:20,Jason Kidwell,Harris is fake guys she lied about the border and she left American troops to rot in Afghanistan
16:50:22,Jason Kidwell,we love trump
16:50:24,FuzzyHeadVR,In a few days 
16:50:26,titi,tommoro morning for my countrey
16:50:28,TRUONG Le,TRUMP TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP WIN
16:50:30,titi,yeah
16:50:52,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:50:53,Jason Kidwell,show em chat all red
16:50:55,JM,Trum
16:50:56,Yonatan Mekonen,Teump!
16:50:58,Jason Kidwell,we love trump
16:51:00,By My Initials CK1,Trump 
16:51:01,Fred,watching from Kenya  Trump :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:51:03,Rubik Corner,Hi titi
16:51:04,Arman Guraya,:blue_heart:
16:51:06,titi,WHO IS FUTURE PRESIDENT LET MR HEAR IT
16:51:08,Yonatan Mekonen,Trump!
16:51:09,titi,hi
16:51:31,pandi veera,Trump for.... reason
16:51:32,Jason Kidwell,trump
16:51:33,Matthew Masters,what state do you live in
16:51:35,Rubik Corner,Turmp
16:51:36,TRUONG Le,LOVE TRUMP WIN TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP 2024/2028
16:51:38,titi,do i know you rubik??
16:51:39,pandi veera,God with trump
16:51:40,Jason Kidwell,trump will make world peace
16:51:42,Rubik Corner,Who
16:51:43,YuK.,Trump all the way from Nagaland 
16:51:44,titi,anyways
16:51:46,Shane Down Syndrome ShaneBaillargeon,"It’s not you, Donald Trump. It’s not your fault but it’s Kamala Harris. That’s her fault. She’s doing bad things that’s her fault not you."
16:51:47,Rahul Das,Vote for Trump and save the world
16:51:48,Rubik Corner,No u don’t know me
16:52:11,Duncan Nkuyayu,kamala all the way
16:52:13,titi,:red_heart:ok
16:52:15,Jason Kidwell,thank you nagaland we love you
16:52:17,titi,NO KAMILA ONLY TRUMP
16:52:19,Nayan Avasthi,kamala harris
16:52:21,Jason Kidwell,we love trump
16:52:23,Rubik Corner,Where are u from 
16:52:25,titi,TRUMP
16:52:27,Joseph Sebin, Trump
16:52:30,titi,ethiopia
16:52:51,Sivakumar Subbarayan,Trump only keeps people safe!
16:52:52,Fico,Oo
16:52:54,TRUONG Le,TRUMP TRUMP DONALD LOVE WIN 2024
16:52:55,Rubik Corner,Good 
16:52:56,The JH,D.J Trump from India .
16:52:58,Joseph Sebin, Trump
16:52:59,Jason Kidwell,we love @titi
16:53:00,Suleman harthy,we know why Indian media is trying to intefear and create an atmosphere of a trump win. please Indian stay away from USA politics. mind your own toilet less country.
16:53:02,titi,u
16:53:03,Rubik Corner,I am from Pakistan 
16:53:04,Jason Kidwell,trump 2024
16:53:06,titi,thx
16:53:07,Joseph Sebin, Trump
16:53:29,Fred,watching live from Kenya  Trump :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:53:30,Fico,:face_with_head_bandage::face_with_head_bandage:
16:53:31,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:53:33,Sivakumar Subbarayan,"In the absence of Trump, People started boarding on the wings if the plan in Afghanistan"
16:53:34,Rubik Corner,Pakistan 
16:53:36,Harikrishnan R,kanguva:fire::fire::fire:
16:53:37,titi,nice
16:53:39,Rubik Corner,Islamabad 
16:53:40,Samn Wakefield,AMERICA america thats it
16:53:42,Matthew Masters,TiTi what state do you live in
16:53:43,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::anger_symbol::collision::hundred_points::anger_symbol::collision:
16:53:45,Jason Kidwell,it's not just about America guys its the whole world trump will make world peace
16:53:46,TRUONG Le,TRUMP :red_heart::red_heart::red_heart::red_heart::hundred_points::hundred_points::hundred_points::hundred_points::thumbs_up::thumbs_up::thumbs_up:
16:54:08,Rubik Corner,I love imran khan 
16:54:10,Kipkorir Chepkwony,trump all the way
16:54:11,Alexander Rudenko,Putin will win!
16:54:13,titi,why ? i love all religion
16:54:15,AA,If Trump loses I will leave USA.
16:54:16,Jason Kidwell,we love trump :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:54:18,Jason Kidwell,same
16:54:20,Big Tri State,Harris
16:54:22,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:54:23,Alexander Rudenko,Putin! Putin! Putin!
16:54:25,Matthew Masters,I live in the state of Tennessee.
16:54:46,Jason Kidwell,we love trump
16:54:48,owen fweta,:blue_heart::blue_heart::blue_heart::blue_heart:
16:54:49,Chloé Décoration de rêve,je vote pour kamala
16:54:50,TRUONG Le,TRUMP TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP WIN
16:54:52,Jason Kidwell,Tennessee loves Trump
16:54:53,Alexander Rudenko,Putin will win
16:54:54,Hustle Hood,donald trump :hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points:Greeley Colorado is TRUMP
16:54:55,titi,YEAH LOVE PUTIN TOO BUT IN THIS ELECTION ITS TRUMP
16:54:57,Chloé Décoration de rêve,haris
16:54:58,Jason Kidwell,Trump loves Tennessee
16:54:59,Les Paul,TRUMP
16:55:01,Big Tri State,either way were cooked
16:55:02,owen fweta,Trump is panicking :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
16:55:03,Chloé Décoration de rêve,I love kamala
16:55:04,Rubik Corner,U know imran khan and trump are good friends titi ?
16:55:06,sivaram kumar,Trump will win 
16:55:28,Jason Kidwell,trump make America great again
16:55:30,Jason Kidwell,show em chat
16:55:32,titi,rlly wow
16:55:35,scorpio love,Trump Trump Trump !!!!!!:red_heart::red_heart::red_heart::ballot_box_with_ballot:
16:55:37,sivaram kumar,Kamala is dangerous for world
16:55:39,Shane Down Syndrome ShaneBaillargeon,Donald Trump I vote for you. I am great awesome and you said it’s not you. It’s Kamala Harris doing bad things.
16:55:41,Alexander Rudenko,who like Putin? Putin as a President of USA is the best
16:55:43,Jason Kidwell,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:55:46,Rubik Corner,Yes
16:56:07,Hustle Hood,trump is gonna change America greatest
16:56:09,Jesus is Lord,Almigthy God Lord of hosts Holy Spirit we votes heavenly divine infinite supernatural origin for Trump Trump Trump Trump Trump Trump Trump Trump :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points:
16:56:10,titi,TRUMP IS BRAVE KAMILA IS IN HER GRAVE
16:56:12,Alexander Rudenko,USA is Russia
16:56:13,Rubik Corner,Imran khan was our president 
16:56:14,Shane Down Syndrome ShaneBaillargeon,She put her Kamala Harris video about you
16:56:16,Juncilo Ampatin,I love Duterte for sky
16:56:17,chi tat Ching,all the best from Hong Kong China
16:56:19,TRUONG Le,TRUMP TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP WIN 2024 THANKS GOD
16:56:20,Juncilo Ampatin,Duterte for my country
16:56:22,Matthew Masters,Harris is just digging her grave
16:56:23,Quan Xi,Trump 2024
16:56:25,Shane Down Syndrome ShaneBaillargeon,My name is Shane. I am Down Syndrome.
16:56:26,titi,kamila ia paniking :red_heart::red_heart::red_heart::red_heart::red_heart:
16:56:48,Jason Kidwell,let's show trump some red guys :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:56:49,titi,yeah
16:56:50,vanlalzikahrahselsaza,I :red_heart: J Rsa
16:56:52,AA,The world wants Trump. A change is the requirement.
16:56:53,LB asem,@AA come n love together
16:56:55,Quan Xi,lum ta ou pu
16:56:56,titi,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::hundred_points::anger_symbol::collision::anger_symbol::hundred_points::hundred_points::anger_symbol:
16:56:57,Chloé Décoration de rêve,Kamala 2024
16:56:59,owen fweta,"2020 did the same thing, Trump go home and watch results from TV :blue_heart:"
16:57:00,Jason Kidwell,Republicans here to stay
16:57:01,Matthew Masters,all red!
16:57:03,재균 곽,"Harris Harris Harris for the hope & the future in America , United States"
16:57:04,Jason Kidwell,trump for the people Harris hates america
16:57:25,titi,nah tbh kamila is not gonna win with these results
16:57:27,Hustle Hood,President Donald Trump :hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::ok_hand::ok_hand::ok_hand::ok_hand::ok_hand::ok_hand::hundred_points::ok_hand::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
16:57:28,Jason Kidwell,won't even take comments
16:57:29,AA,Harris will be Obama's 4th term.
16:57:30,BACON HEHE,Kamala Harris pls
16:57:31,FuzzyHeadVR,Get out
16:57:32,TRUONG Le,WIN TRUMP DONALD TRUMP DONALD TRUMP DONALD TRUMP
16:57:34,Gabrielle Hirsch-Brown,"I'm watching live from Australia, Go TRUMP."
16:57:35,Jason Kidwell,Harris is so fake
16:57:36,Quan Xi,lum ta aw pu
16:57:37,By My Initials CK1,I'm about to get a fresh maga hat
16:57:38,titi,TRUMPPPPPP
16:57:39,Dain August,Kamala
16:57:41,FaReached,Donald Trash:clown_face:
16:57:42,titi,trump
16:58:03,titi,trump
16:58:05,Whittaker “Stavros” Winstanley III,Boooo Fox news
16:58:06,FuzzyHeadVR,I don’t see Camila do I
16:58:08,titi,trump
16:58:09,arup naskar,trump
16:58:11,titi,trump
16:58:12,Jason Kidwell,show em chat
16:58:14,BACON HEHE,sicko trump
16:58:15,Quan Xi,lum ta ou pu
16:58:17,Jason Kidwell,get em out
16:58:18,Jason Kidwell,no blue all :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
16:58:43,Mizero Jean de Dieu,camal Harris NIWOWE
